identifying_location,place,city,state,latitude,longitude,ICAO,PWStation
Kuantan,Kuantan,Kuantan,Pahang,3.895891,103.34027,,IKUANT6
Balok Baru Kuantan,Balok Baru Kuantan,Kuantan,Pahang,3.960644,103.382158,,
Sultan Haji Ahmad Shah Airport,Kuantan,Kuantan,Pahang,3.769722222,103.2094444,WMKD,
Indera Mahkota Kuantan,Bandar Indera Mahkota,Kuantan,Pahang,3.819217,103.29655,,
Jerantut,Jerantut,Jerantut,Pahang,3.94836,102.366632,,
Temerloh,Songsang,Temerloh,Pahang,3.471603,102.376406,,
Kampung Tebing Tinggi,Kampung Tebing Tinggi,Temerloh,Pahang,3.396606,102.424514,,ITEMER1
Jalan Besar Cameron Highlands,Brinchang,Cameron Highlands,Pahang,4.515281,101.428466,,IBRINC1
Kangar,Taman Embun,Kangar,Perlis,6.429922,100.211069,,
Kuala Perlis,Kuala Perlis,Kuala Perlis,Perlis,6.39999,100.138527,,IKUALA18
Padang Besar,Padang Besar,Kuala Perlis,Perlis,6.657668,100.30957,,IPADAN6
Miri,Piasau,Miri,Sarawak,4.424679,114.012426,,
Miri Airport,Jalan Airport,Miri,Sarawak,4.325277778,113.9883333,WBGR,
SK Kuala Baram 2 (MCAQM),Jalan Perlis,Miri,Sarawak,4.5505649,114.007616,,
ILP Miri,Permyjaya,Miri,Sarawak,4.494791,114.043416,,
Permyjaya Miri,Permyjaya,Miri,Sarawak,4.4544,114.0376,,
Kampung Sugon,Subis,Miri,Sarawak,3.521905,113.753609,,INIAH2
Sibu Airport,Sibu Jaya,Sibu,Sarawak,2.264166667,111.9825,WBGS,
Pekan Sibu,Pekan Sibu,Sibu,Sarawak,2.264232,111.84428,,ISIBU11
Persiaran Brooke,Sibu,Sibu,Sarawak,2.314408,111.831916,,
Sibu,Sibu,Sibu,Sarawak,2.314408,111.831916,,
Kapit,Kapit,Kapit,Sarawak,2.014498,112.92736,,
Sematan Airport,Sematan,Lundu,Sarawak,1.813611111,109.7627778,WBGN,
Mukah,Mukah,Mukah,Sarawak,2.883238,112.019742,,
Bintulu,Bintulu,Bintulu,Sarawak,3.177084,113.041091,,
Bintulu Airport,Bintulu,Bintulu,Sarawak,3.124166667,113.0197222,WBGB,
Samalaju,Bintulu,Bintulu,Sarawak,3.537059,113.295168,,
Taman Matang Jaya,Petra Jaya,Kuching,Sarawak,1.56751,110.296726,,IKUCHI6
Kuching International Airport,Kota Sentosa,Kuching,Sarawak,1.484722222,110.3377778,WBGG,
Jalan Sumber Alam,Petra Jaya,Kuching,Sarawak,1.612769,110.335581,,IKUCHI7
IPD Serian (MCAQM),Serian,Kuching,Sarawak,1.17247,110.56807,,
IPD Serian,Serian,Kuching,Sarawak,1.17247,110.56807,,
Demak Industrial Park Phase,Sejingkat,Kuching,Sarawak,1.598726,110.453328,,IKUCHI10
Kuching,Kuching,Kuching,Sarawak,1.562229,110.388958,,
Limbang,Limbang,Limbang,Sarawak,4.758891,115.013667,,
Sarikei,Jalan Sentral,Sarikei,Sarawak,2.132809,111.52287,,
Simanggang Airport,Sabu,Sri Aman,Sarawak,1.217000008,111.4499969,WBGY,
Sri Aman,Sri Aman,Sri Aman,Sarawak,1.219656,111.464792,,
Samarahan,Samarahan,Kota Samarahan,Sarawak,1.454853,110.491505,,
Kota Bahru,Kampung Redang,Kota Bharu,Kelantan,6.147431,102.249236,,
Kota Bharu,Kampung Redang,Kota Bharu,Kelantan,6.147431,102.249236,,
Sultan Ismail Petra Airport,Sabak,Kota Bharu,Kelantan,6.166111111,102.2925,WMKC,
Tanah Merah,Tanah Merah,Tanah Merah,Kelantan,5.811172,102.1345,,
Taman Eng Ann,Taman Eng Ann,Klang,Selangor,3.053294,101.452904,,ISELANGO11
JOHAN SETIA KLANG (MCAQM),Taman Setia,Klang,Selangor,2.97975,101.48179,,
Johan Setia,Taman Setia,Klang,Selangor,2.97975,101.48179,,
SK Kampung Johan Setia (MCAQM),Taman Setia,Klang,Selangor,2.97975,101.48179,,
Klang,Pelabuhan Klang,Klang,Selangor,3.014889,101.413111,,
Johan Setia (MCAQM),Taman Setia,Klang,Selangor,2.97975,101.48179,,
Johan Setia Klang (MCAQM),Taman Setia,Klang,Selangor,2.97975,101.48179,,
Semenyih,Taman Tasik Semenyih,Kajang,Selangor,2.939093,101.886086,,ISEMEN3
Saujana Villa,Saujana Villa,Kajang,Selangor,3.0049,101.804535,,IKAJAN4
Kuala Pangsun,Hulu Langat,Kajang,Selangor,3.203433,101.858035,,IHULUL1
Banting,Bukit Changgang,Banting,Selangor,2.816689,101.623158,,
Jalan Sungai Buah Luar,Kampung Sungai Buah,Dengkil,Selangor,2.892757,101.756045,,IDENGK2
Puchong,Taman Mutiara Puchong,Puchong,Selangor,3.034558,101.610851,,IPUCHO4
Bukit Gita Bayu,Gita Bayu,Balakong,Selangor,3.008224,101.73138,,ISERIK8
Sultan Abdul Aziz Shah Airport,Petaling,Shah Alam,Selangor,3.131111111,101.5480556,WMSA,
Setia Indah,Petaling,Shah Alam,Selangor,3.100947,101.463403,,ISHAHA7
Encorp Cahaya Alam,Encorp Cahaya Alam,Shah Alam,Selangor,3.087482,101.488917,,ISHAHA4
Bukit Rahman Putra,Sungai Buloh,Shah Alam,Selangor,3.214294,101.557678,,ISELANGO6
Shah Alam,Taman TTDI Jaya,Shah Alam,Selangor,3.104717,101.556222,,
Damansara Jaya,Damansara Jaya,Petaling Jaya,Selangor,3.126314,101.618439,,IPETAL3
Bandar Sunway,Bandar Sunway,Petaling Jaya,Selangor,3.08182,101.612679,,IPETAL1
Petaling Jaya,Kampung Sungai Kayu Ara,Petaling Jaya,Selangor,3.133169,101.608011,,
Saujana Utama,Bandar Saujana Utama,Kuala Selangor,Selangor,3.20031,101.491547,,ISUNGAIB3
Kuala Selangor,Bandar Baru Kuala Selangor,Kuala Selangor,Selangor,3.321308,101.256242,,
Putrajaya,Presint 18,Putrajaya,Putrajaya,2.9196,101.696,,
Presint 18,Presint 18,Putrajaya,Putrajaya,2.9196,101.696,,
Presint 11,Presint 11,Putrajaya,Putrajaya,2.959229,101.683647,,IPUTRA2
Besut,Kampung Jawek,Besut,Terengganu,5.748449,102.515632,,
Paka,Paka,Dungun,Terengganu,4.598064,103.434819,,
Kemaman,Kemaman,Kemaman,Terengganu,4.262121,103.425778,,
Kerteh Airport,Kemaman,Kemaman,Terengganu,4.5375,103.4266667,WMKE,
Sultan Mahmud Airport,Kuala Nerus,Kuala Terengganu,Terengganu,5.048055556,103.1047222,WMKN,
Kuala Terengganu,Kampung Tok Kaya,Kuala Terengganu,Terengganu,5.308094,103.120392,,
Sepang,Jalan Ayer Hitam,Sepang,Kuala Lumpur,2.977911,101.733853,,IKAJAN7
Kuala Lumpur International Airport,Sepang,Sepang,Kuala Lumpur,2.743333333,101.6980556,WMKK,
Kampung Dato' Abu Bakar Baginda,Kampung Dato' Abu Bakar Baginda,Sepang,Kuala Lumpur,2.951164,101.745807,,IKAJAN7
Sri Aman Heights,Sri Aman Heights,Selayang,Kuala Lumpur,3.214151,101.593764,,ISUNGA3
Taman Esplanad,Bukit Jalil,Kuala Lumpur,Kuala Lumpur,3.060738,101.681036,,IKUALA28
Bukit Jalil,Bukit Jalil,Kuala Lumpur,Kuala Lumpur,3.059632,101.651115,,IPUCHO2
Ampang,Ampang Jaya,Kuala Lumpur,Kuala Lumpur,3.148507,101.770217,,IAMPAN2
Cheras,Cheras,Kuala Lumpur,Kuala Lumpur,3.007658,101.764646,,IKAJAN6
Bangsar,Bangsar,Kuala Lumpur,Kuala Lumpur,3.139003,101.686855,,IKUALA16
Taman Pudu Ulu (MCAQM),Pudu Ulu,Kuala Lumpur,Kuala Lumpur,3.122784,101.73094,,
Stadium Mini SMK Sri Permaisuri,Bandar Sri Permaisuri,Kuala Lumpur,Kuala Lumpur,3.106236,101.717917,,IKAJAN6
Jalan Ampang,Bukit Bintang,Kuala Lumpur,Kuala Lumpur,3.159477,101.712276,,IKUALA6
Jalan Galloway,Bukit Bintang,Kuala Lumpur,Kuala Lumpur,3.142885,101.705437,,IKUALA6
Batu Muda,Batu Muda,Kuala Lumpur,Kuala Lumpur,3.212439,101.682228,,
Minden,Gelugor,Timur Laut,Pulau Pinang,5.356211,100.30792,,
Air Itam,Air Itam,Timur Laut,Pulau Pinang,5.407842,100.277214,,IAYERI1
Balik Pulau,Balik Pulau,Balik Pulau,Pulau Pinang,5.337598,100.214721,,
Penang International Airport,Batu Maung,Bayan Lepas,Pulau Pinang,5.297222222,100.2766667,WMKP,
Tanjung Bungah,Tanjung Bungah,George Town,Pulau Pinang,5.462463,100.299668,,IPENAN3
Komtar,Penang Road,George Town,Pulau Pinang,5.414821,100.331087,,IPENAN2
Seberang Perai,Bukit Minyak,Bukit Mertajam,Pulau Pinang,5.329358,100.443475,,
Bukit Tengah,Bukit Tengah,Bukit Mertajam,Pulau Pinang,5.356241,100.429304,,IBUKIT1
SJK (T) LADANG BYRAM (MCAQM),Nibong Tebal,Seberang Perai,Pulau Pinang,5.1914,100.4334,,
RMAF Butterworth,Sungai Puyu,Seberang Perai,Pulau Pinang,5.466111111,100.3911111,WMKB,
Seberang Jaya,Seberang Jaya,Seberang Perai,Pulau Pinang,5.39817,100.403947,,
Nilai,Taman Semarak,Nilai,Negeri Sembilan,2.821692,101.811486,,
Masjid Seri Sendayan (MCAQM),Bandar Seri Sendayan,Siliau,Negeri Sembilan,2.6847617,101.8424253,,
Laman Isora,Nilai Impian,Seremban,Negeri Sembilan,2.841943,101.802068,,INILAI4
Seremban,Ampangan,Seremban,Negeri Sembilan,2.723381,101.968497,,
Nilai Impian,Nilai Impian,Seremban,Negeri Sembilan,2.842143,101.806365,,INILAI8
Taman Politeknik,Taman Politeknik,Port Dickson,Negeri Sembilan,2.441383,101.866858,,ISELAN1
Port Dickson,Port Dickson,Port Dickson,Negeri Sembilan,2.515101,101.661907,,ISELAN1
